Thread ID: 70321780771280
Fiber ID: 70321808515740
Total: 0.019491
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      0.000     0.000     0.000     0.000        3   Logger::SimpleFormatter#call 
  0.09      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#relative_url_root 
  0.09      0.000     0.000     0.000     0.000        3   Rack::Utils::KeySpaceConstrainedParams#initialize 
  0.09      0.000     0.000     0.000     0.000        1   URI::Generic#merge0 
  0.09      0.000     0.000     0.000     0.000        1   AbstractController::Rendering#_normalize_options 
  0.09      0.000     0.000     0.000     0.000        1   AbstractController::Layouts#_normalize_options 
  0.09      0.000     0.000     0.000     0.000        3  *ActionDispatch::Http::Parameters#encode_params 
  0.09      0.011     0.000     0.000     0.011        1   ActionController::RackDelegation#dispatch 
  0.09      0.000     0.000     0.000     0.000        2   Hash#hash 
  0.09      0.006     0.000     0.000     0.006        1   AbstractController::Rendering#render 
  0.09      0.000     0.000     0.000     0.000        4   <Class::File>#join 
  0.09      0.000     0.000     0.000     0.000        6   URI::Generic#set_query 
  0.09      0.004     0.000     0.000     0.004        1   ActionView::TemplateRenderer#render_with_layout 
  0.09      0.011     0.000     0.000     0.011        1   ActionDispatch::Routing::RouteSet::Dispatcher#call 
  0.09      0.000     0.000     0.000     0.000        1   ActionView::LookupContext#initialize 
  0.09      0.000     0.000     0.000     0.000        4   Enumerable#inject 
  0.09      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#teardown_fixtures 
  0.09      0.000     0.000     0.000     0.000        3   Logger#format_message 
  0.09      0.000     0.000     0.000     0.000       12   Array#last 
  0.08      0.000     0.000     0.000     0.000        6   <Class::ActiveSupport::Duration>#=== 
  0.08      0.000     0.000     0.000     0.000        1   <Module::SecureRandom>#random_bytes 
  0.08      0.000     0.000     0.000     0.000        2   ActiveSupport::LogSubscriber#info 
  0.08      0.000     0.000     0.000     0.000        2   ActionDispatch::Request#request_method 
  0.08      0.016     0.000     0.000     0.016        1   Rack::Test::Session#process_request 
  0.08      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#update_source_list 
  0.08      0.000     0.000     0.000     0.000        3   ActiveSupport::TaggedLogging#tags_text 
